What is the capital of Afghanistan?,Kabul,Geography
What is the capital of Albania?,Tirana,Geography
What is the capital of Algeria?,Algiers,Geography
What is the capital of Andorra?,Andorra la Vella,Geography
What is the capital of Angola?,Luanda,Geography
What is the capital of Antigua and Barbuda?,Saint John's,Geography
What is the capital of Argentina?,Buenos Aires,Geography
What is the capital of Armenia?,Yerevan,Geography
What is the capital of Australia?,Canberra,Geography
What is the capital of Austria?,Vienna,Geography
What is the capital of Azerbaijan?,Baku,Geography
What is the capital of Bahamas?,Nassau,Geography
What is the capital of Bahrain?,Manama,Geography
What is the capital of Bangladesh?,Dhaka,Geography
What is the capital of Barbados?,Bridgetown,Geography
What is the capital of Belarus?,Minsk,Geography
What is the capital of Belgium?,Brussels,Geography
What is the capital of Belize?,Belmopan,Geography
What is the capital of Benin?,Porto-Novo,Geography
What is the capital of Bhutan?,Thimphu,Geography
What is the capital of Bolivia?,"Sucre (de jure),",Geography
What is the capital of Bosnia and Herzegovina?,Sarajevo,Geography
What is the capital of Botswana?,Gaborone,Geography
What is the capital of Brazil?,Brasilia,Geography
What is the capital of Brunei?,Bandar Seri Begawan,Geography
What is the capital of Bulgaria?,Sofia,Geography
What is the capital of Burkina Faso?,Ouagadougou,Geography
What is the capital of Burundi?,Gitega,Geography
What is the capital of Cabo Verde?,Praia,Geography
What is the capital of Cambodia?,Phnom Penh,Geography
What is the capital of Cameroon?,Yaounde,Geography
What is the capital of Canada?,Ottawa,Geography
What is the capital of Central African Republic?,Bangui,Geography
What is the capital of Chad?,N'Djamena,Geography
What is the capital of Chile?,Santiago,Geography
What is the capital of China?,Beijing,Geography
What is the capital of Colombia?,Bogotá,Geography
What is the capital of Comoros?,Moroni,Geography
"What is the capital of Congo, Democratic Republic of the?",Kinshasa,Geography
"What is the capital of Congo, Republic of the?",Brazzaville,Geography
What is the capital of Costa Rica?,San Jose,Geography
What is the capital of Cote d'Ivoire?,Yamoussoukro,Geography
What is the capital of Country?,Capital city,Geography
What is the capital of Croatia?,Zagreb,Geography
What is the capital of Cuba?,Havana,Geography
What is the capital of Cyprus?,Nicosia,Geography
What is the capital of Czechia?,Prague,Geography
What is the capital of Denmark?,Copenhagen,Geography
What is the capital of Djibouti?,Djibouti (city),Geography
What is the capital of Dominica?,Roseau,Geography
What is the capital of Dominican Republic?,Santo Domingo,Geography
What is the capital of Ecuador?,Quito,Geography
What is the capital of Egypt?,Cairo,Geography
What is the capital of El Salvador?,San Salvador,Geography
What is the capital of Equatorial Guinea?,"Malabo (de jure),",Geography
What is the capital of Eritrea?,Asmara,Geography
What is the capital of Estonia?,Tallinn,Geography
What is the capital of Ethiopia?,Addis Ababa,Geography
What is the capital of Fiji?,Suva,Geography
What is the capital of Finland?,Helsinki,Geography
What is the capital of France?,Paris,Geography
What is the capital of Gabon?,Libreville,Geography
What is the capital of Gambia?,Banjul,Geography
What is the capital of Georgia?,Tbilisi,Geography
What is the capital of Germany?,Berlin,Geography
What is the capital of Ghana?,Accra,Geography
What is the capital of Greece?,Athens,Geography
What is the capital of Grenada?,Saint George's,Geography
What is the capital of Guatemala?,Guatemala City,Geography
What is the capital of Guinea?,Conakry,Geography
What is the capital of Guinea-Bissau?,Bissau,Geography
What is the capital of Guyana?,Georgetown,Geography
What is the capital of Haiti?,Port-au-Prince,Geography
What is the capital of Honduras?,Tegucigalpa,Geography
What is the capital of Hungary?,Budapest,Geography
What is the capital of Iceland?,Reykjavik,Geography
What is the capital of India?,New Delhi,Geography
What is the capital of Indonesia?,Jakarta,Geography
What is the capital of Iran?,Tehran,Geography
What is the capital of Iraq?,Baghdad,Geography
What is the capital of Ireland?,Dublin,Geography
What is the capital of Israel?,Jerusalem,Geography
What is the capital of Italy?,Rome,Geography
What is the capital of Jamaica?,Kingston,Geography
What is the capital of Japan?,Tokyo,Geography
What is the capital of Jordan?,Amman,Geography
What is the capital of Kazakhstan?,Nur-Sultan,Geography
What is the capital of Kenya?,Nairobi,Geography
What is the capital of Kiribati?,Tarawa,Geography
What is the capital of Kosovo?,Pristina,Geography
What is the capital of Kuwait?,Kuwait City,Geography
What is the capital of Kyrgyzstan?,Bishkek,Geography
What is the capital of Laos?,Vientiane,Geography
What is the capital of Latvia?,Riga,Geography
